Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
13,Retaliate: 0.1,2.7838842975206615,0.7179063360881542,59.0,1.0,142,0.6772727272727272,0.040633608815427,0.1162534435261708,0.16584022038567492,1.0,0,0,0
14,Evolved HMM 5,2.7822314049586776,0.8234159779614325,39.0,1.0,56,0.7515151515151516,0.07190082644628099,0.08636363636363636,0.09022038567493113,0.9996408045977012,0.5323242485214317,0,0.23900431579003006
15,Punisher,2.7789256198347108,0.7207988980716253,58.0,1.0,135,0.6801652892561983,0.040633608815427,0.11432506887052342,0.16487603305785123,1.0,0,0,0
16,Grudger,2.775619834710744,0.7224517906336089,55.0,1.0,91,0.6818181818181818,0.040633608815427,0.11267217630853994,0.16487603305785123,1.0,0,0,0
17,"Limited Retaliate 2: 0.08, 15",2.775619834710744,0.7254820936639118,59.0,1.0,110,0.6849862258953169,0.04049586776859505,0.11170798898071627,0.1628099173553719,1.0,0,0,0
18,Retaliate 3: 0.05,2.773140495867769,0.7213498622589531,58.0,1.0,144,0.6805785123966942,0.04077134986225896,0.11280991735537191,0.16584022038567492,1.0,0,0,0
19,Forgetful Grudger,2.7690082644628102,0.7209366391184573,58.0,1.0,75,0.6800275482093664,0.04090909090909091,0.11212121212121212,0.16694214876033056,1.0,0,0,0
20,Forgiver,2.7690082644628102,0.7210743801652892,59.0,1.0,76,0.6801652892561983,0.04090909090909091,0.11253443526170799,0.16639118457300275,1.0,0,0,0
21,Second by RichardHufford,2.763223140495868,0.8066115702479338,29.0,1.0,163,0.740358126721763,0.06625344352617081,0.08774104683195592,0.1056473829201102,0.9892380952380952,0.2974603174603175,0.9284943869689631,0
22,"DoubleCrosser: (D, D)",2.7590909090909093,0.7555096418732782,164.0,1.0,42,0.6453168044077136,0.11019283746556473,0.14476584022038566,0.09972451790633607,0.8944542257050888,0.820850611376927,0,0
23,Adaptive Pavlov 2006,2.7582644628099175,0.787465564738292,46.0,1.0,2,0.715426997245179,0.07203856749311295,0.09862258953168045,0.11391184573002755,0.9737105126715516,0.26258503401360545,0.5622694122694123,0.2962962962962963
24,Inverse Punisher,2.755785123966942,0.75,51.0,1.0,106,0.7027548209366391,0.047245179063360884,0.09931129476584023,0.15068870523415978,1.0,0,0.488603373965216,0
